file_name,n_tokens
mm2src/mm2_main/src/for_tests/recreate_maker_swap_maker_payment_wait_confirm_failed_taker_saved.json,1657
mm2src/mm2_main/src/for_tests/recreate_maker_swap_taker_saved.json,2876
mm2src/mm2_main/src/for_tests/recreate_taker_swap_maker_saved.json,2467
mm2src/mm2_main/src/for_tests/recreate_taker_swap_taker_expected.json,2391
mm2src/mm2_main/src/for_tests/recreate_taker_swap_taker_payment_wait_confirm_failed_maker_saved.json,2386
mm2src/mm2_main/src/for_tests/recreate_taker_swap_taker_payment_wait_confirm_failed_taker_expected.json,2006
mm2src/mm2_main/src/lib.rs,161
mm2src/mm2_main/src/lp_dispatcher.rs,521
mm2src/mm2_main/src/lp_init/init_context.rs,277
mm2src/mm2_main/src/lp_init/init_hw.rs,2386
mm2src/mm2_main/src/lp_init/init_metamask.rs,1819
mm2src/mm2_main/src/lp_message_service.rs,1431
mm2src/mm2_main/src/lp_native_dex.rs,7336
mm2src/mm2_main/src/lp_network.rs,5228
mm2src/mm2_main/src/lp_ordermatch.rs,56896
mm2src/mm2_main/src/lp_ordermatch/best_orders.rs,4971
mm2src/mm2_main/src/lp_ordermatch/lp_bot.rs,2400
mm2src/mm2_main/src/lp_ordermatch/my_orders_storage.rs,10062
mm2src/mm2_main/src/lp_ordermatch/new_protocol.rs,4065
